"Find a Service Point", "Vælg en Pakkeshop"
"You must choose a Service Point!", "Du skal vælge en Pakkeshop!"
"Sorry, we could not find any service points in your area", "Der er ikke nogle Pakkeshops i dit område"
"%1 service points", "%1 pakkeshops"
"%1 service points in postcode <u>%2</u>", "%1 pakkeshops i postnummeret <u>%2</u>"
"Service Point must be set!", "Der skal vælges en Pakkeshop!"
"Service Point number was not found!", "Pakkeshop blev ikke fundet!"
"Search by postcode:", "Indtast postnummer:"
"Choose ParcelShop", "Vælg Pakkeshop"
"Choose Another ParcelShop", "Vælg en anden Pakkeshop"
"Search for parcelshops","Søg"
